Restaurant - Base Pricing Info,,,,,,,,Markup,,Chefpanzee Price,
Product Id,Product Name,Original Price,Product Description,Category (Internal),Variation,Cost Variation,,Lunch,Dinner,Lunch,Dinner
,Chocolate Cake,5.5,,Dessert,0,0,,0.1,0.15,6.05,6.325
,Acai Bowl,8.95,,Dessert,0,0,,0.1,0.15,9.844999999999999,10.292499999999999
,Passion Fruit Juice,4.5,,Dessert,0,0,,0.1,0.15,4.95,5.175
,Mango Juice,4.5,,Drinks,0,0,,0.1,0.15,4.95,5.175
,Pineapple Juice,4.5,,Drinks,0,0,,0.1,0.15,4.95,5.175
,Acai Special,4.5,,Drinks,0,0,,0.1,0.15,4.95,5.175
,Cashew,4.5,,Drinks,0,0,,0.1,0.15,4.95,5.175
,Brazillian Lemonade,3.95,,Drinks,0,0,,0.1,0.15,4.345000000000001,4.5425
,Add Fruit Juice to Lemonade ,0.5,,Drinks,0,0,,0.1,0.15,0.55,0.575
,Guarana Antarctica (Can),1.99,,Drinks,0,0,,0.1,0.15,2.189,2.2885
,Guarana Antarctica (2 Liter),4.5,,Drinks,0,0,,0.1,0.15,4.95,5.175
,,,,Drinks,0,0,,0.1,0.15,0,0
,,,,Drinks,0,0,,0.1,0.15,0,0
,,,,Drinks,0,0,,0.1,0.15,0,0
,,,,Drinks,0,0,,0.1,0.15,0,0
,,,,Drinks,0,0,,0.1,0.15,0,0
,$1 Donation,1,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,1,1
,$5 Donation,5,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,5,5
,$10 Donation,10,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,10,10
,$20 Donation,20,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,20,20
,$50 Donation,50,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,50,50
,$100 Donation,100,100% of proceeds go directly to this local restaurant,Donation,0,0,,0,0,100,100
